the-body-multiple	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/8afe8e1c-6b22-4b06-89b8-3fb8642da872/978-0-8223-2917-6_pr.jpg	https://www.dukeupress.edu/the-body-multiple	9780822329176	Duke University Press	The Body Multiple	Annemarie Mol	2002
improvising-medicine	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/3bb23b1d-0bd1-429d-a2a4-64a0e2093c8f/978-0-8223-5342-3_pr.jpg	https://www.dukeupress.edu/Improvising-Medicine	9780822353423	Duke University Press	Improvising Medicine	Julie Livingston	2012
the-republic-of-therapy	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/82dc089f-710e-4ee4-ac91-bb46d0f0735b/978-0-8223-4874-0_pr.jpg	https://www.dukeupress.edu/the-republic-of-therapy	9780822348740	Duke University Press	The Republic of Therapy	Vinh-Kim Nguyen	2010
porkopolis	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/86ab8584-a184-4ae2-be64-0afb4b1dd17d/978-1-4780-0840-8_pr.jpg	https://www.dukeupress.edu/porkopolis	9781478008408	Duke University Press	Porkopolis	Alex Blanchette	2020
decolonizing-extinction	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/53e6a076-e434-44b3-a090-17cebdfe6878/978-0-8223-7077-2_pr.jpg	https://www.dukeupress.edu/decolonizing-extinction	9780822370772	Duke University Press	Decolonizing Extinction	J. S. Parreñas	2018
made-in-china	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/3a04ace5-843e-45d8-8101-63574ead9781/978-1-932643-00-8_pr.jpg	https://www.dukeupress.edu/made-in-china	9781932643008	Duke University Press	Made in China	Pun Ngai（潘毅）	2005
cosmologies-of-credit	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/0d1723f4-5aa8-4fa8-b246-edc5eb68567c/978-0-8223-4806-1_pr.jpg	https://www.dukeupress.edu/cosmologies-of-credit	9780822348061	Duke University Press	Cosmologies of Credit	Julie Y. Chu（朱苑瑜）	2010
other-worldly	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/4c8a0431-daae-4429-bbed-e7b1ef2a7b44/978-0-8223-4384-4_pr.jpg	https://www.dukeupress.edu/other-worldly	9780822343844	Duke University Press	Other-Worldly	Mei Zhan（詹梅）	2009
adopted-territory	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/2be4e3fd-b8ca-4586-b345-c2f7c5fffb56/978-0-8223-4695-1_pr.jpg	https://www.dukeupress.edu/adopted-territory	9780822346951	Duke University Press	Adopted Territory	Eleana Kim	2010
south-koreans-in-the-debt-crisis	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/6b6ab425-d788-4448-80c1-aa213e2ab8b6/978-0-8223-4481-0_pr.jpg	https://www.dukeupress.edu/south-koreans-in-the-debt-crisis	9780822344810	Duke University Press	South Koreans in the Debt Crisis	Jesook Song	2009
everyday-conversions	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/32103a58-b56c-468b-a4b3-c4f44d2247d2/978-0-8223-6344-6_pr.jpg	https://www.dukeupress.edu/everyday-conversions	9780822363446	Duke University Press	Everyday Conversions	Attiya Ahmad	2017
the-war-machines	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/9c3453c3-7924-4590-ac0f-906c39d230c3/978-0-8223-5077-4_pr.jpg	https://www.dukeupress.edu/the-war-machines	9780822350774	Duke University Press	The War Machines	Danny Hoffman	2011
warring-souls	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/66abb8a4-3d10-418a-862d-437a8c07640d/978-0-8223-3721-8_pr.jpg	https://www.dukeupress.edu/warring-souls	9780822337218	Duke University Press	Warring Souls	Roxanne Varzi	2006
the-will-to-improve	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/a9869020-fcd1-48c8-9eb7-590c83e6c6a2/978-0-8223-4027-0_pr.jpg	https://www.dukeupress.edu/the-will-to-improve	9780822340270	Duke University Press	The Will to Improve	Tania Murray Li	2007
the-make-believe-space	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/882ab9f4-37e0-404f-b8ce-e4528d948c94/978-0-8223-5204-4_pr.jpg	https://www.dukeupress.edu/the-make-believe-space	9780822352044	Duke University Press	The Make-Believe Space	Yael Navaro-Yashin	2012
at-home-in-the-world	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/5ad71344-4041-42ea-bd02-9c87cc5df2c2/978-0-8223-1561-2_pr.jpg	https://www.dukeupress.edu/at-home-in-the-world	9780822315612	Duke University Press	At Home in the World	Michael Jackson	1995
global-cinderellas	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/574d8f68-7d8a-4d80-a682-15ada800f8db/978-0-8223-3742-3_pr.jpg	https://www.dukeupress.edu/global-cinderellas	9780822337423	Duke University Press	Global Cinderellas	Pei-Chia Lan（蓝佩嘉）	2006
