ethnography-02	the-body-multiple	The Body Multiple	2002	Annemarie Mol	Duke University Press
ethnography-04	improvising-medicine	Improvising Medicine	2012	Julie Livingston	Duke University Press
ethnography-05	the-republic-of-therapy	The Republic of Therapy	2010	Vinh-Kim Nguyen	Duke University Press
ethnography-16	porkopolis	Porkopolis	2020	Alex Blanchette	Duke University Press
ethnography-18	decolonizing-extinction	Decolonizing Extinction	2018	J. S. Parreñas	Duke University Press
ethnography-40	made-in-china	Made in China	2005	Pun Ngai（潘毅）	Duke University Press
ethnography-44	cosmologies-of-credit	Cosmologies of Credit	2010	Julie Y. Chu（朱苑瑜）	Duke University Press
ethnography-45	other-worldly	Other-Worldly	2009	Mei Zhan（詹梅）	Duke University Press
ethnography-56	adopted-territory	Adopted Territory	2010	Eleana Kim	Duke University Press
ethnography-57	south-koreans-in-the-debt-crisis	South Koreans in the Debt Crisis	2009	Jesook Song	Duke University Press
ethnography-77	everyday-conversions	Everyday Conversions	2017	Attiya Ahmad	Duke University Press
ethnography-81	the-war-machines	The War Machines	2011	Danny Hoffman	Duke University Press
ethnography-109	warring-souls	Warring Souls	2006	Roxanne Varzi	Duke University Press
ethnography-115	the-will-to-improve	The Will to Improve	2007	Tania Murray Li	Duke University Press
ethnography-116	the-make-believe-space	The Make-Believe Space	2012	Yael Navaro-Yashin	Duke University Press
ethnography-135	at-home-in-the-world	At Home in the World	1995	Michael Jackson	Duke University Press
ethnography-136	global-cinderellas	Global Cinderellas	2006	Pei-Chia Lan（蓝佩嘉）	Duke University Press
