flight-ways	https://cup-us.imgix.net/covers/9780231166188.jpg?w=1200&auto=format	https://cup.columbia.edu/book/flight-ways/9780231166188/	9780231166188	Columbia University Press	Flight Ways	Thom van Dooren	2014
living-with-herds	https://assets.cambridge.org/97811070/00902/cover/9781107000902.jpg	https://www.cambridge.org/core/books/living-with-herds/C1A08F043D92165935396D056581C1A8	9781107000902	Cambridge University Press	Living with Herds	Natasha Fijn	2011
the-subject-of-virtue	https://assets.cambridge.org/97811076/97317/cover/9781107697317.jpg	https://www.cambridge.org/gb/universitypress/subjects/anthropology/anthropological-theory/subject-virtue-anthropology-ethics-and-freedom	9781107697317	Cambridge University Press	The Subject of Virtue	James Laidlaw	2013
on-the-move-for-love	https://www.degruyterbrill.com/document/cover/isbn/9780812206920/original	https://www.pennpress.org/9780812242171/on-the-move-for-love/	9780812242171	University of Pennsylvania Press	On the Move for Love	Sealing Cheng（鄭詩靈）	2010
the-anxieties-of-mobility	https://uhpress.hawaii.edu/wp-content/uploads/2025/05/9780824833152.jpg	https://uhpress.hawaii.edu/title/the-anxieties-of-mobility-migration-and-tourism-in-the-indonesian-borderlands/	9780824833152	University of Hawai'i Press	The Anxieties of Mobility	Johan Lindquist	2009
shaving-the-beasts	https://minnesota-us.imgix.net/covers/9781517904746.jpg?w=1200&auto=format	https://www.upress.umn.edu/9781517904746/shaving-the-beasts/	9781517904746	University of Minnesota Press	Shaving the Beasts	John Hartigan Jr.	2020
the-anti-politics-machine	https://minnesota-us.imgix.net/covers/9780816624379.jpg?w=1200&auto=format	https://www.upress.umn.edu/9780816624379/anti-politics-machine/	9780816624379	University of Minnesota Press	The Anti-Politics Machine	James Ferguson	1990
algeria-in-france	https://ingram-indiana.imgix.net/covers/9780253217127.jpg	https://iupress.org/9780253217127/algeria-in-france/	9780253217127	Indiana University Press	Algeria in France	Paul Silverstein	2004
the-performance-of-human-rights-in-morocco	https://syndetics.com/index.aspx?isbn=9780812219043/LC.JPG&client=primo	https://www.pennpress.org/9780812219043/the-performance-of-human-rights-in-morocco/	9780812219043	University of Pennsylvania Press	The Performance of Human Rights in Morocco	Susan Slyomovics	2005
lost-people-magic-and-the-legacy-of-slavery-in-madagascar	https://ingram-indiana.imgix.net/covers/9780253219152.jpg	https://iupress.org/9780253219152/lost-people/	9780253219152	Indiana University Press	Lost People: Magic and the Legacy of Slavery in Madagascar	David Graeber	2007
hunters-pastoralists-and-ranchers	https://assets.cambridge.org/97805213/58873/cover/9780521358873.jpg	https://www.cambridge.org/core/books/hunters-pastoralists-and-ranchers/DD9EBBF541204F70EC17D2D90E0E6E71	9780521225885	Cambridge University Press	Hunters, Pastoralists and Ranchers	Tim Ingold	1980
