ethnography-14	flight-ways	Flight Ways	2014	Thom van Dooren	Columbia University Press
ethnography-19	living-with-herds	Living with Herds	2011	Natasha Fijn	Cambridge University Press
ethnography-23	the-subject-of-virtue	The Subject of Virtue	2013	James Laidlaw	Cambridge University Press
ethnography-58	on-the-move-for-love	On the Move for Love	2010	Sealing Cheng（鄭詩靈）	University of Pennsylvania Press
ethnography-89	the-anxieties-of-mobility	The Anxieties of Mobility	2009	Johan Lindquist	University of Minnesota Press
ethnography-90	shaving-the-beasts	Shaving the Beasts	2020	John Hartigan Jr.	University of Minnesota Press
ethnography-121	the-anti-politics-machine	The Anti-Politics Machine	1990	James Ferguson	Cambridge University Press
ethnography-129	algeria-in-france	Algeria in France	2004	Paul Silverstein	Indiana University Press
ethnography-130	the-performance-of-human-rights-in-morocco	The Performance of Human Rights in Morocco	2005	Susan Slyomovics	University of Pennsylvania Press
ethnography-134	lost-people-magic-and-the-legacy-of-slavery-in-madagascar	Lost People: Magic and the Legacy of Slavery in Madagascar	2007	David Graeber	Indiana University Press
ethnography-137	hunters-pastoralists-and-ranchers	Hunters, Pastoralists and Ranchers	1980	Tim Ingold	Cambridge University Press
