vita	https://webfiles.ucpress.edu/coverimage/isbn13/9780520272958.jpg	https://www.ucpress.edu/books/vita/paper	9780520272958	University of California Press	Vita	João Biehl	2005
life-exposed	https://pup-assets.imgix.net/onix/images/9780691151663.jpg?w=1500&auto=format	https://press.princeton.edu/books/paperback/9780691151663/life-exposed	9780691151663	Princeton University Press	Life Exposed	Adriana Petryna	2002
animal-intimacies	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523864609i/36217577.jpg	https://www.goodreads.com/book/show/36217577-animal-intimacies	9780226559988	University of Chicago Press	Animal Intimacies	R. Govindrajan	2018
a-heart-for-the-work	https://press.uchicago.edu/.imaging/mte/ucp/large/dam/ucp/books/jacket/978/02/26/89/9780226893273.jpg/jcr:content/9780226893273.jpg	https://press.uchicago.edu/ucp/books/book/chicago/H/bo8854910.html	9780226893273	University of Chicago Press	A Heart for the Work	Claire Wendland	2010
the-will-to-live	https://pup-assets.imgix.net/onix/images/9780691143859.jpg?w=1500&auto=format	https://press.princeton.edu/books/paperback/9780691143859/will-to-live	9780691143859	Princeton University Press	The Will to Live	João Biehl	2005
truth-in-motion	https://press.uchicago.edu/.imaging/mte/ucp/large/dam/ucp/books/jacket/978/02/26/34/9780226349213.jpg/jcr:content/9780226349213.jpg	https://press.uchicago.edu/ucp/books/book/chicago/T/bo12986119.html	9780226349213	University of Chicago Press	Truth in Motion	Martin Holbraad	2012
spirits-of-modernity	https://press.uchicago.edu/.imaging/mte/ucp/large/dam/ucp/books/jacket/978/02/26/89/9780226894058.jpg/jcr:content/9780226894058.jpg	https://press.uchicago.edu/ucp/books/book/chicago/K/bo3615616.html	9780226894058	University of Chicago Press	Spirits of Modernity	Harry G. West	2005
governing-educational-desire	https://press.uchicago.edu/.imaging/mte/ucp/large/dam/ucp/books/jacket/978/02/26/43/9780226437552.jpg/jcr:content/9780226437552.jpg	https://press.uchicago.edu/ucp/books/book/chicago/G/bo10549225.html	9780226437552	University of Chicago Press	Governing Educational Desire	Andrew Kipnis（任柯安）	2011
ghetto-at-the-center-of-the-world	https://press.uchicago.edu/.imaging/mte/ucp/large/dam/ucp/books/jacket/978/02/26/51/9780226510200.jpg/jcr:content/9780226510200.jpg	https://press.uchicago.edu/ucp/books/book/chicago/G/bo11234886.html	9780226510200	University of Chicago Press	Ghetto at the Center of the World	Gordon Mathews（麥高登）	2011
depression-in-japan	https://pup-assets.imgix.net/onix/images/9780691142050.jpg?w=1500&auto=format	https://press.princeton.edu/books/paperback/9780691142050/depression-in-japan	9780691142050	Princeton University Press	Depression in Japan	Junko Kitanaka（北中淳子）	2012
