ethnography-01	vita	Vita	2005	João Biehl	Princeton University Press
ethnography-03	life-exposed	Life Exposed	2002	Adriana Petryna	Princeton University Press
ethnography-15	animal-intimacies	Animal Intimacies	2018	R. Govindrajan	University of Chicago Press
ethnography-26	a-heart-for-the-work	A Heart for the Work	2010	Claire Wendland	University of Chicago Press
ethnography-27	the-will-to-live	The Will to Live	2005	João Biehl	Princeton University Press
ethnography-34	truth-in-motion	Truth in Motion	2012	Martin Holbraad	University of Chicago Press
ethnography-37	spirits-of-modernity	Spirits of Modernity	2005	Harry G. West	University of Chicago Press
ethnography-43	governing-educational-desire	Governing Educational Desire	2011	Andrew Kipnis（任柯安）	University of Chicago Press
ethnography-48	ghetto-at-the-center-of-the-world	Ghetto at the Center of the World	2011	Gordon Mathews（麥高登）	University of Chicago Press
ethnography-51	depression-in-japan	Depression in Japan	2012	Junko Kitanaka（北中淳子）	Princeton University Press
ethnography-55	intimate-disconnections	Intimate Disconnections	2020	Allison Alexy	University of Chicago Press
ethnography-72	everything-was-forever-until-it-was-no-more	Everything Was Forever, Until It Was No More	2006	Alexei Yurchak	Princeton University Press
ethnography-74	the-moral-neoliberal	The Moral Neoliberal	2012	Andrea Muehlebach	University of Chicago Press
ethnography-75	friction	Friction	2004	Anna Tsing（罗安清）	Princeton University Press
ethnography-78	global-body-shopping	Global "Body Shopping"	2007	Biao Xiang（项飙）	Princeton University Press
ethnography-79	nostalgia-for-the-future	Nostalgia for the Future	2010	Charles Piot	University of Chicago Press
ethnography-94	peripheral-visions	Peripheral Visions	2008	Lisa Wedeen	University of Chicago Press
ethnography-99	evicted-from-eternity	Evicted from Eternity	2009	Michael Herzfeld	University of Chicago Press
ethnography-100	islamic-modern	Islamic Modern	2002	Michael Peletz	Princeton University Press
ethnography-106	the-perils-of-belonging	The Perils of Belonging	2009	Peter Geschiere	University of Chicago Press
ethnography-108	memories-of-the-slave-trade	Memories of the Slave Trade	2002	Rosalind Shaw	University of Chicago Press
ethnography-110	political-spiritualities	Political Spiritualities	2009	Ruth Marshall	University of Chicago Press
ethnography-113	knot-of-the-soul	Knot of the Soul	2018	Stefania Pandolfo	University of Chicago Press
ethnography-117	laboratory-life	Laboratory Life	1986	Bruno Latour & Steve Woolgar	Princeton University Press
ethnography-125	marginal-gains	Marginal Gains	2004	Jane I. Guyer	University of Chicago Press
ethnography-138	life-and-death-on-mt-everest	Life and Death on Mt. Everest	1999	Sherry B. Ortner	Princeton University Press
